OK: backend healthy at http://127.0.0.1:3392
M9 P6: turn_limit_defeat=29 for class 'hardcore' scenario=enc_tutorial_06_hardcore (Long War pattern)
[1/40] L rounds=29 boss_hp=10 pa=3
[2/40] V rounds=29 boss_hp=0 pa=6
[3/40] L rounds=29 boss_hp=16 pa=6
[4/40] L rounds=29 boss_hp=20 pa=5
[5/40] L rounds=29 boss_hp=22 pa=6
[6/40] L rounds=29 boss_hp=30 pa=4
[7/40] V rounds=28 boss_hp=0 pa=6
[8/40] V rounds=23 boss_hp=0 pa=6
[9/40] L rounds=29 boss_hp=12 pa=6
[10/40] V rounds=29 boss_hp=0 pa=5
[11/40] V rounds=29 boss_hp=0 pa=4
[12/40] V rounds=27 boss_hp=0 pa=6
[13/40] L rounds=29 boss_hp=20 pa=6
[14/40] V rounds=22 boss_hp=0 pa=6
[15/40] L rounds=29 boss_hp=17 pa=6
[16/40] V rounds=29 boss_hp=0 pa=6
[17/40] V rounds=21 boss_hp=0 pa=5
[18/40] V rounds=24 boss_hp=0 pa=5
[19/40] L rounds=29 boss_hp=8 pa=5
[20/40] L rounds=29 boss_hp=11 pa=5
[21/40] V rounds=25 boss_hp=0 pa=6
[22/40] V rounds=25 boss_hp=0 pa=5
[23/40] V rounds=22 boss_hp=0 pa=5
[24/40] V rounds=26 boss_hp=0 pa=5
[25/40] L rounds=29 boss_hp=9 pa=5
[26/40] V rounds=22 boss_hp=0 pa=6
[27/40] L rounds=29 boss_hp=6 pa=3
[28/40] V rounds=27 boss_hp=0 pa=6
[29/40] L rounds=29 boss_hp=7 pa=7
[30/40] V rounds=18 boss_hp=0 pa=5
[31/40] V rounds=29 boss_hp=0 pa=5
