OK: backend healthy at http://127.0.0.1:3390
M9 P6: turn_limit_defeat=35 for class 'hardcore' scenario=enc_tutorial_06_hardcore (Long War pattern)
[1/40] V rounds=29 boss_hp=0 pa=6
[2/40] V rounds=31 boss_hp=0 pa=4
[3/40] V rounds=24 boss_hp=0 pa=6
[4/40] V rounds=26 boss_hp=0 pa=5
[5/40] L rounds=35 boss_hp=10 pa=6
[6/40] V rounds=27 boss_hp=0 pa=6
[7/40] L rounds=35 boss_hp=22 pa=6
[8/40] L rounds=35 boss_hp=15 pa=5
[9/40] V rounds=27 boss_hp=0 pa=5
[10/40] V rounds=23 boss_hp=0 pa=4
[11/40] V rounds=27 boss_hp=0 pa=4
