OK: backend healthy at http://127.0.0.1:3392
M9 P6: turn_limit_defeat=27 for class 'hardcore' scenario=enc_tutorial_06_hardcore (Long War pattern)
[1/40] V rounds=17 boss_hp=0 pa=5
[2/40] L rounds=27 boss_hp=3 pa=4
[3/40] L rounds=27 boss_hp=21 pa=6
[4/40] V rounds=21 boss_hp=0 pa=6
[5/40] V rounds=26 boss_hp=0 pa=5
[6/40] L rounds=27 boss_hp=6 pa=6
[7/40] V rounds=17 boss_hp=0 pa=6
[8/40] V rounds=27 boss_hp=0 pa=6
[9/40] L rounds=27 boss_hp=15 pa=6
[10/40] V rounds=27 boss_hp=0 pa=5
[11/40] L rounds=27 boss_hp=7 pa=7
[12/40] L rounds=27 boss_hp=3 pa=5
[13/40] V rounds=19 boss_hp=0 pa=6
[14/40] V rounds=23 boss_hp=0 pa=7
[15/40] V rounds=25 boss_hp=0 pa=6
[16/40] V rounds=26 boss_hp=0 pa=6
[17/40] V rounds=18 boss_hp=0 pa=7
[18/40] V rounds=24 boss_hp=0 pa=6
