OK: backend healthy at http://127.0.0.1:3391
M9 P6: turn_limit_defeat=33 for class 'hardcore' scenario=enc_tutorial_06_hardcore (Long War pattern)
[1/40] V rounds=30 boss_hp=0 pa=6
[2/40] L rounds=33 boss_hp=5 pa=6
[3/40] L rounds=33 boss_hp=14 pa=4
[4/40] V rounds=26 boss_hp=0 pa=6
[5/40] V rounds=20 boss_hp=0 pa=5
[6/40] L rounds=33 boss_hp=8 pa=5
[7/40] V rounds=26 boss_hp=0 pa=6
[8/40] V rounds=28 boss_hp=0 pa=6
[9/40] V rounds=26 boss_hp=0 pa=5
[10/40] V rounds=18 boss_hp=0 pa=7
[11/40] V rounds=29 boss_hp=0 pa=4
