OK: backend healthy at http://127.0.0.1:3392
M9 P6: turn_limit_defeat=28 for class 'hardcore' scenario=enc_tutorial_06_hardcore (Long War pattern)
[1/40] L rounds=28 boss_hp=8 pa=7
[2/40] V rounds=20 boss_hp=0 pa=5
[3/40] V rounds=19 boss_hp=0 pa=6
[4/40] V rounds=19 boss_hp=0 pa=7
[5/40] L rounds=28 boss_hp=13 pa=6
[6/40] V rounds=25 boss_hp=0 pa=6
[7/40] L rounds=28 boss_hp=6 pa=6
[8/40] L rounds=28 boss_hp=4 pa=5
[9/40] L rounds=28 boss_hp=16 pa=4
[10/40] V rounds=25 boss_hp=0 pa=6
[11/40] L rounds=28 boss_hp=14 pa=6
[12/40] V rounds=21 boss_hp=0 pa=6
[13/40] V rounds=26 boss_hp=0 pa=5
[14/40] L rounds=28 boss_hp=13 pa=6
[15/40] V rounds=15 boss_hp=0 pa=7
[16/40] V rounds=18 boss_hp=0 pa=7
[17/40] V rounds=27 boss_hp=0 pa=5
[18/40] V rounds=19 boss_hp=0 pa=6
[19/40] L rounds=28 boss_hp=15 pa=5
[20/40] L rounds=28 boss_hp=29 pa=2
[21/40] L rounds=28 boss_hp=1 pa=7
[22/40] V rounds=25 boss_hp=0 pa=6
[23/40] L rounds=28 boss_hp=17 pa=5
[24/40] V rounds=27 boss_hp=0 pa=4
[25/40] L rounds=28 boss_hp=2 pa=5
[26/40] V rounds=18 boss_hp=0 pa=7
[27/40] V rounds=24 boss_hp=0 pa=6
[28/40] V rounds=28 boss_hp=0 pa=6
[29/40] V rounds=25 boss_hp=0 pa=6
[30/40] V rounds=22 boss_hp=0 pa=6
